Title,Year,Album debut,Duration,Other releases,Single A side,Single B side,Single certification,Genre,Songwriter,Lead vocal,Cover,Covered by,Top 50 Billboard
Step Inside Love/Los Paranoias,1968,Anthology 3,150,,,,,"Folk Rock, Pop/Rock","McCartney (Step Inside Love); Lennon, McCartney, Harrison and Starkey (Los Paranoias)",McCartney,,,
Strawberry Fields Forever,1966,Magical Mystery Tour,245,20,Penny Lane,Strawberry Fields Forever,RIAA Gold,"Psychedelic Rock, Art Pop, Psychedelic Pop, Pop/Rock",Lennon,Lennon,,30,33
Sun King,1969,Abbey Road,146,6,,,,"Art Pop, Pop/Rock",Lennon,Lennon,,2,
Sure to Fall (In Love with You),1963,Live at the BBC,141,,,,,Pop/Rock,"Perkins, Claunch, Cantrell",McCartney,Y,,
Sweet Little Sixteen,1963,Live at the BBC,141,,,,,"Rock and Roll, Pop/Rock",Berry,Lennon,Y,,
Take Good Care of My Baby,1962,,,,,,,"Rock and Roll, Pop/Rock","Goffin, King",Harrison,Y,,
Taking a Trip to Carolina,1969,Let It Be... Naked - Fly on the Wall bonus disc,,,,,,Pop/Rock,Starkey,Starkey,,,
Taxman,1966,Revolver,159,10,,,,"Rock, Hard Rock, Psychedelic Rock, Pop/Rock","Harrison, with uncredited contribution from Lennon",Harrison,,14,
Teddy Boy,1969,Anthology 3,145,,,,,"Folk Rock, Pop/Rock",McCartney,McCartney,,,
Tell Me What You See,1965,UK: Help! US: Beatles VI,156,10,,,,"Rock, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",,1,
Tell Me Why,1964,UK: A Hard Day's Night US: Something New,130,15,If I Fell,Tell Me Why,,"Rock and Roll, Pop/Rock",Lennon,Lennon,,3,
Thank You Girl,1963,UK: Rarities US: The Beatles Second Album,121,21,From Me to You; Do You Want to Know a Secret?,Thank You Girl; Thank You Girl,,"Merseybeat, Pop/Rock",Lennon and McCartney,Lennon and McCartney,,1,46
That Means a Lot,1965,Anthology 2,146,,,,,"Rock, Pop/Rock",McCartney,McCartney,,,
That'll Be the Day,1958,Anthology 1,136,,,,,"Rock and Roll, Rockabilly, Pop/Rock","Allison, Holly, Petty",Lennon,Y,,
That's All Right (Mama),1963,Live at the BBC,176,,,,,"Rockabilly, Pop/Rock",Crudup,McCartney,Y,,
The Ballad of John and Yoko,1969,UK: 1967-1970 US: Hey Jude,179,14,The Ballad of John and Yoko,Old Brown Shoe,RIAA Gold,"Rock and Roll, Pop/Rock",Lennon,"Lennon, with McCartney",,4,28
The Continuing Story of Bungalow Bill,1968,The Beatles,198,8,,,,"Folk Rock, Pop/Rock",Lennon,"Lennon, with Starkey",,3,
The End,1969,Abbey Road,140,6,,,,"Hard Rock, Art Rock, Heavy Metal, Pop/Rock",McCartney,McCartney,,3,
The Fool on the Hill,1967,Magical Mystery Tour,180,15,,,,"Baroque Pop, Pop/Rock",McCartney,McCartney,,25,
The Honeymoon Song,1963,Live at the BBC,,,,,,Pop/Rock,"Theodorakis, Sansom",McCartney,Y,,
The Inner Light,1968,UK: Rarities US: Rarities,156,10,Lady Madonna,The Inner Light,RIAA Platinum,"Indian Music, Raga Rock, Pop/Rock",Harrison,Harrison,,,
The Long and Winding Road,1969,Let It Be,220,18,The Long and Winding Road,For You Blue,RIAA Platinum,Pop/Rock,McCartney,McCartney,,29,20
The Night Before,1965,Help!,153,13,,,,Electronic Pop/Rock,McCartney,McCartney,,2,
The Saints,1962,,,,My Bonnie,The Saints,,Pop/Rock,"Traditional, arr. Sheridan",Sheridan,,,
The Sheik of Araby,1962,Anthology 1,,,,,,"Jazz, Pop/Rock","Smith, Wheeler-Snyder",Harrison,Y,,
The Word,1965,Rubber Soul,161,6,,,,"Rock, Pop/Rock",Lennon and McCartney,"Lennon, McCartney and Harrison",,3,
There's a Place,1963,UK: Please Please Me US: Rarities,109,24,,,,"Merseybeat, Rock and Roll, Pop/Rock",Lennon and McCartney,Lennon and McCartney,,2,
Things We Said Today,1964,UK: A Hard Day's Night US: Something New,158,22,A Hard Day's Night,Things We Said Today,,"Rock, Pop/Rock",McCartney,McCartney,,10,
Think for Yourself,1965,Rubber Soul,138,7,,,,Pop/Rock,Harrison,Harrison,,3,
This Boy,1963,UK: Rarities US: Meet The Beatles!,133,23,I Want to Hold Your Hand; All My Loving,This Boy; This Boy,,"Doo Wop, Pop/Rock",Lennon,"Lennon, with McCartney and Harrison",,10,
Three Cool Cats,1962,Anthology 1,128,,,,,"R&B, Pop/Rock","Leiber, Stoller",Harrison,Y,,
Ticket to Ride,1965,Help!,190,31,Ticket to Ride,Yes It Is,,"Power Pop, Jangle Pop, Folk Rock, Pop/Rock",Lennon,"Lennon, with McCartney",,18,17
Till There Was You,1963,UK: With the Beatles US: Meet The Beatles!,136,22,,,,Pop/Rock,Willson,McCartney,Y,,
Tip of My Tongue,1962,,,,,,,"Beat, Power Pop, Pop/Rock",Lennon and/or McCartney,McCartney/Lennon,,,
To Know Her is to Love Her,1963,Live at the BBC,138,,,,,Pop/Rock,Spector,Lennon,Y,,
Tomorrow Never Knows,1966,Revolver,178,14,,,,"Psychedelic Rock, Hard Rock, Avant-Pop, Experimental Rock, Pop/Rock",Lennon,Lennon,,23,
Too Much Monkey Business,1963,Live at the BBC,176,,,,,"Rock and Roll, R&B, Pop/Rock",Berry,Lennon,Y,,
Twist and Shout,1963,UK: Please Please Me US: The Early Beatles,125,44,Twist and Shout; Back in the U.S.S.R.,There's a Place; Twist and Shout,RIAA Platinum,"Rock and Roll, R&B, Pop/Rock","Medley, Russell",Lennon,Y,,13
Two of Us,1969,Let It Be,213,11,,,,"Folk Rock, Pop/Rock",McCartney,"McCartney, with Lennon",,6,
Wait,1965,Rubber Soul,136,8,,,,"Folk Rock, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",,3,
Watching Rainbows,1969,,248,,,,,"Rock, Pop/Rock","Lennon, with McCartney",Lennon,,,
We Can Work It Out,1965,UK: A Collection of Beatles Oldies US: Yesterday and Today,135,19,We Can Work It Out,Day Tripper,RIAA Gold,"Folk Rock, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",,29,9
What Goes On,1965,UK: Rubber Soul US: Yesterday and Today,170,9,Nowhere Man,What Goes On,RIAA Gold,"Country rock, Country, Pop/Rock","Lennon and McCartney, with Starkey",Starkey,,2,
What You're Doing,1964,UK: Beatles for Sale US: Beatles VI,150,8,,,,"Jangle pop, Pop/Rock",McCartney,McCartney,,,
What's The New Mary Jane,1968,Anthology 3,372,,,,,"Psychedelic Rock, Musique Concrete, Experimental Music, Outsider Music, Pop/Rock",Lennon,Lennon,,,
When I Get Home,1964,UK: A Hard Day's Night US: Something New,138,14,,,,"Rock and Roll, Pop/Rock",Lennon,Lennon,,1,
When I'm Sixty-Four,1966,Sgt. Pepper's Lonely Hearts Club Band,157,7,,,,"Music Hall, Pop/Rock",McCartney,McCartney,,21,
While My Guitar Gently Weeps,1968,The Beatles,286,18,"Ob-La-Di, Ob-La-Da",While My Guitar Gently Weeps,,"Rock, Psychedelic Rock, Blues Rock, Pop/Rock",Harrison,Harrison,,27,
Why Don't We Do It in the Road?,1968,The Beatles,102,8,,,,"Rock, Blues, Pop/Rock",McCartney,McCartney,,8,
Wild Honey Pie,1968,The Beatles,52,7,,,,"Experimental pop, Lo-Fi, Psychedelic Folk, Pop/Rock",McCartney,McCartney,,2,
Winston's Walk,1960,,,,,,,,Lennon,N/A,,,
With a Little Help from My Friends,1967,Sgt. Pepper's Lonely Hearts Club Band,164,6,Sgt. Pepper's Lonely Hearts Club Band / With a Little Help from My Friends,A Day in the Life,,"Pop Rock, Psychedelic Pop, Pop/Rock",Lennon and McCartney,Starkey,,31,
Within You Without You,1967,Sgt. Pepper's Lonely Hearts Club Band,305,7,,,,"Indian Classical, Raga Rock, Pop/Rock",Harrison,Harrison,,9,
Woman,1965,,145,,,,,"Folk Rock, Pop/Rock",McCartney (as Bernard Webb or A. Smith),McCartney,,,
Words of Love,1964,UK: Beatles for Sale US: Beatles VI,122,16,,,,Pop/Rock,Holly,Lennon and McCartney,Y,,
Yellow Submarine,1966,Revolver,158,24,Yellow Submarine,Eleanor Rigby,RIAA Gold,"Children's Music, Folk, Pop/Rock",McCartney,Starkey,,8,25
Yer Blues,1968,The Beatles,241,11,,,,"Blues Rock, Hard Rock, Pop/Rock",Lennon,Lennon,,6,
Yes It Is,1965,UK: Rarities US: Beatles VI,161,16,Ticket to Ride,Yes It Is,,Pop/Rock,Lennon,"Lennon, McCartney and Harrison",,2,
Yesterday,1965,UK: Help! US: Yesterday and Today,123,33,Yesterday,Act Naturally,RIAA Gold,"Baroque Pop, Pop/Rock",McCartney,McCartney,,70,12
You Can't Do That,1964,UK: A Hard Day's Night US: The Beatles Second Album,157,25,Can't Buy Me Love,You Can't Do That,,"Rock and Roll, R&B, Pop/Rock",Lennon,Lennon,,10,
You Know My Name (Look Up the Number),1967,UK: Rarities US: Rarities,261,4,Let It Be,You Know My Name (Look Up the Number),RIAA 2xPlatinum,"Comedy Rock, Jazz, Experimental Rock, Avant-Garde, Novelty, Pop/Rock","Lennon, with McCartney",Lennon and McCartney,,1,
You Know What to Do,1964,Anthology 1,119,,,,,Pop/Rock,Harrison,Harrison,,,
You Like Me Too Much,1965,UK: Help! US: Beatles VI,155,12,,,,Pop/Rock,Harrison,Harrison,,,
You Never Give Me Your Money,1969,Abbey Road,242,7,,,,"Rock, Pop/Rock",McCartney,McCartney,,6,
You Won't See Me,1965,Rubber Soul,202,11,,,,Pop/Rock,McCartney,McCartney,,9,
